,Bacteria,Archaea,Arch-amoA,Bac-amoA,comammox,nirK,nirS,nrfA,nosZI,nosZII,n.damo,nifH,,,,,,,,,,,,
Y158,10.930391,10.245399,8.31732,7.273643,6.36655,9.67879,8.802792,4.951895,8.413486,9.164456,6.707193,9.721741,,,,,,,,,,,,
Y159,11.700444,10.601615,8.49944,6.454697,6.653266,10.31232,9.669949,5.600433,8.938986,9.630446,6.786015,10.789084,,,,,,,,,,,,
Y160,10.881772,10.078749,8.607941,7.113027,6.491948,9.735756,8.886644,4.844732,8.495562,9.122472,6.555913,9.034756,,,,,,,,,,,,
Y161,10.937778,10.075059,7.997952,6.82076,6.541489,9.395129,9.035208,5.05964,8.230728,8.97061,6.352699,9.581984,,,,,,,,,,,,
Y162,11.54697,10.525831,8.399002,7.785032,6.788442,10.164583,9.517994,6.58769,8.778066,9.649987,6.69903,10.354184,,,,,,,,,,,,
Y163,9.800013,10.205619,7.723368,1,1,8.33422,1,1,7.124057,6.048722,1,8.388312,,,,,,,,,,,,
Y164,9.661486,9.837765,7.618724,1,1,8.431606,1,3.842428,7.063748,6.571099,1,8.568064,,,,,,,,,,,,
Y165,10.840194,10.56476,8.255301,1,1,9.362754,5.971313,3.769165,7.75629,7.373482,1,9.641056,,,,,,,,,,,,
Y166,10.740534,10.383872,7.832582,1,1,9.335705,6.001749,3.918228,7.363797,7.222223,1,9.456238,,,,,,,,,,,,
Y167,10.742375,10.14508,7.703593,1,1,9.178138,5.986928,4.753406,7.442685,7.066856,1,9.193982,,,,,,,,,,,,
Y168,10.995087,10.489525,8.655334,1,1,9.506012,5.968175,5.426848,8.089636,7.633861,1,9.616613,,,,,,,,,,,,
Y169,9.95701,10.251926,7.979356,1,1,8.506906,1,1,7.698637,7.205583,1,8.546094,,,,,,,,,,,,
Y170,10.204021,10.511492,7.953188,1,1,8.978298,1,3.93489,7.747873,7.28848,1,8.862493,,,,,,,,,,,,
Y171,10.834361,9.456623,7.326913,6.698469,5.817888,10.234512,9.007324,5.617024,7.954294,8.520877,6.771802,9.639836,,,,,,,,,,,,
Y172,11.083445,9.569106,7.408198,7.453572,5.836305,10.545891,9.528704,5.985598,8.24625,8.811958,7.273193,10.265452,,,,,,,,,,,,
Y173,10.661432,9.25871,6.909133,6.242032,5.630183,10.165916,9.025355,5.578012,7.863865,8.598514,6.768483,9.811965,,,,,,,,,,,,
Y174,10.796599,8.668584,1,3.906857,1,10.10745,7.648869,5.299379,8.360409,7.715147,6.362698,9.906865,,,,,,,,,,,,
Y175,10.894653,8.74221,4.670952,4.197349,1,10.272446,7.913309,5.279474,8.479277,7.747781,6.710772,10.151624,,,,,,,,,,,,
Y176,10.868203,8.705787,5.145928,4.295761,1,10.20314,8.089736,4.86686,8.537795,7.610853,6.221804,9.825016,,,,,,,,,,,,
Y177,11.010108,10.527838,7.305596,5.684295,5.456412,9.156754,8.3372,5.423232,7.825681,8.126591,6.661312,10.403379,,,,,,,,,,,,
Y178,10.697469,10.176319,6.71564,6.091528,6.15956,8.874749,8.502387,4.933096,7.92091,8.113558,4.046797,10.070727,,,,,,,,,,,,
Y179,11.223855,9.99974,8.173943,6.046963,5.885785,9.81677,8.511405,6.26945,8.203363,8.304344,6.51571,10.42434,,,,,,,,,,,,
